Date,forecast,lower,upper
2031-12-31,1876.5110592187289,1595.243827453163,2157.7782909842945
2032-01-31,1886.689109019229,1600.911513281333,2172.4667047571247
2032-02-29,1896.922517010385,1606.6110397548016,2187.2339942659687
2032-03-31,1907.2112831921975,1612.342523049767,2202.080043334628
2032-04-30,1917.5554075646662,1618.1060777746563,2217.0047373546763
2032-05-31,1927.9548901277913,1623.9018169996227,2232.00796325596
2032-06-30,1938.4097308815726,1629.7298522855829,2247.0896094775626
2032-07-31,1948.91992982601,1635.5902937127798,2262.2495659392403
2032-08-31,1959.4854869611038,1641.4832499088538,2277.4877240133537
2032-09-30,1970.1064022868538,1647.4088280764151,2292.8039764972923
2032-10-31,1980.7826758032602,1653.3671340201054,2308.198217586415
2032-11-30,1991.5143075103229,1659.3582721731493,2323.6703428474966
2032-12-31,2002.3012974080416,1665.382345623389,2339.220249192694
2033-01-31,2013.1436454964166,1671.4394561388037,2354.8478348540298
2033-02-28,2024.041351775448,1677.529704192511,2370.552999358385
2033-03-31,2034.9944162451357,1683.6531889872572,2386.335643503014
2033-04-30,2046.0028389054794,1689.8100084793966,2402.1956693315624
2033-05-31,2057.0666197564797,1696.000259402367,2418.132980110592
2033-06-30,2068.185758798136,1702.224037289661,2434.1474803066103
2033-07-31,2079.360256030448,1708.4814364973097,2450.239075563586
2033-08-31,2090.5901114534167,1714.772550225874,2466.4076726809594
2033-09-30,2101.8753250670416,1721.0974705419571,2482.653179592126
2033-10-31,2113.215896871323,1727.4562883992485,2498.9755053433973
2033-11-30,2124.6118268662603,1733.849093659098,2515.374560073423
2033-12-31,2136.063115051854,1740.275975110639,2531.850254993069
2034-01-31,2147.569761428104,1746.737020490464,2548.402502365744
2034-02-28,2159.13176599501,1753.2323165018581,2565.031215488162
2034-03-31,2170.7491287525727,1759.7619488336081,2581.7363086715372
2034-04-30,2182.4218497007914,1766.3260021783865,2598.5176972231966
2034-05-31,2194.1499288396662,1772.9245602507267,2615.375297428606
2034-06-30,2205.9333661691976,1779.5577058045956,2632.3090265337996
2034-07-31,2217.772161689385,1786.225520650569,2649.3188027282013
2034-08-31,2229.666315400229,1792.9280856726273,2666.4045451278307
2034-09-30,2241.615827301729,1799.6654808445696,2683.5661737588885
2034-10-31,2253.620697393885,1806.437785246065,2700.803609541705
2034-11-30,2265.680925676698,1813.2450770783432,2718.116774275052
2034-12-31,2277.7965121501666,1820.087433679533,2735.5055906208004
2035-01-31,2289.967456814292,1826.964931539662,2752.969982088922
2035-02-28,2302.193759669073,1833.877646315321,2770.509873022825
2035-03-31,2314.4754207145106,1840.825652844003,2788.1251885850183
2035-04-30,2326.8124399506046,1847.8090251581236,2805.8158547430853
2035-05-31,2339.2048173773546,1854.8278364987336,2823.5817982559756
2035-06-30,2351.652552994761,1861.8821593289276,2841.422946660595
2035-07-31,2364.155646802824,1868.9720653469565,2859.339228258691
2035-08-31,2376.7140988015426,1876.097625499057,2877.3305721040283
2035-09-30,2389.327908990918,1883.2589099919958,2895.3969079898397
2035-10-31,2401.9970773709492,1890.455988305344,2913.5381664365545
