Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2029-11-30,49,-1371.8169444028729,-1306.1096609262138,-121628.75612074243,-314288.49252027407,-1604.8317951627453,-1527.963567133229
2029-12-31,50,-1368.570972716507,-1305.668854918932,-122997.32709345894,-315594.161375193,-1606.275837628531,-1532.4483533634257
2030-01-31,51,-1365.3315781333285,-1305.2170188028451,-124362.65867159226,-316899.3783939958,-1607.719880094317,-1536.9331395936224
2030-02-28,52,-1362.0987522920323,-1304.7542292552096,-125724.7574238843,-318204.13262325106,-1609.1639225601027,-1541.4179258238191
2030-03-31,53,-1358.872486815849,-1304.280562570321,-127083.62991070014,-319508.4131858214,-1610.6079650258885,-1545.9027120540159
2030-04-30,54,-1355.6527733127375,-1303.7960946611984,-128439.28268401288,-320812.20928048255,-1612.0520074916744,-1550.3874982842126
2030-05-31,55,-1352.439603375571,-1303.3009010612566,-129791.72228738846,-322115.5101815438,-1613.4960499574602,-1554.8722845144093
2030-06-30,56,-1349.232968582327,-1302.7950569259776,-131140.9552559708,-323418.3052384698,-1614.940092423246,-1559.357070744606
2030-07-31,57,-1346.0328604962724,-1302.2786370345734,-132486.98811646708,-324720.5838755044,-1616.3841348890317,-1563.8418569748028
2030-08-31,58,-1342.8392706661507,-1301.7517157916393,-133829.82738713323,-326022.335591296,-1617.8281773548174,-1568.3266432049995
2030-09-30,59,-1339.6521906263658,-1301.2143672288037,-135169.4795777596,-327323.5499585248,-1619.2722198206034,-1572.8114294351963
2030-10-31,60,-1336.4716118971653,-1300.6666650063698,-136505.95118965677,-328624.2166235312,-1620.716262286389,-1577.296215665393
2030-11-30,61,-1333.2975259848233,-1300.1086824149506,-137839.2487156416,-329924.3253059462,-1622.1603047521749,-1581.7810018955897
2030-12-31,62,-1330.129924381822,-1299.540492377097,-139169.3786400234,-331223.86579832324,-1623.6043472179606,-1586.2657881257865
2031-01-31,63,-1326.968798567033,-1298.9621674489204,-140496.34743859046,-332522.8279657721,-1625.0483896837463,-1590.7505743559832
2031-02-28,64,-1323.8141400058942,-1298.3737798217053,-141820.16157859634,-333821.20174559386,-1626.492432149532,-1595.23536058618
2031-03-31,65,-1320.6659401505913,-1297.775401323521,-143140.82751874693,-335118.9771469174,-1627.9364746153178,-1599.7201468163767
2031-04-30,66,-1317.5241904402324,-1297.1671034208202,-144458.35170918715,-336416.1442503382,-1629.3805170811038,-1604.2049330465734
2031-05-31,67,-1314.3888823010268,-1296.5489572200372,-145772.74059148817,-337712.69320755824,-1630.8245595468898,-1608.6897192767701
2031-06-30,68,-1311.2600071464578,-1295.9210334691732,-147084.00059863462,-339008.6142410274,-1632.2686020126755,-1613.1745055069669
2031-07-31,69,-1308.1375563774593,-1295.2834025593804,-148392.13815501207,-340303.8976435868,-1633.7126444784612,-1617.6592917371636
2031-08-31,70,-1305.0215213825882,-1294.636134526538,-149697.15967639466,-341598.5337781133,-1635.156686944247,-1622.1440779673603
2031-09-30,71,-1301.9118935381966,-1293.97929905282,-150999.07156993286,-342892.51307716616,-1636.6007294100327,-1626.628864197557
