Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF
2034-07-31,105,-2903.93396422798,-3052.0560930197953,-411762.4404902193,-588858.3825106139,-4079.5194696837893,-4287.605161624744
2034-08-31,106,-2896.8720593046883,-3048.3225721806166,-414659.31254952395,-591906.7050827944,-4082.9215352873885,-4296.379550654442
2034-09-30,107,-2889.825321420239,-3044.5809217013416,-417549.13787094416,-594951.2860044958,-4086.323600890988,-4305.153942334578
2034-10-31,108,-2882.7937267847365,-3040.831235538559,-420431.9315977289,-597992.1172400343,-4089.725666494587,-4313.928338303591
2034-11-30,109,-2875.777251602047,-3037.073606746434,-423307.70884933096,-601029.1908467808,-4093.1277320981862,-4322.702739675723
2034-12-31,110,-2868.7758720700963,-3033.30812752249,-426176.48472140107,-604062.4989743032,-4096.529797701785,-4331.4771470942105
2035-01-31,111,-2861.7895643811603,-3029.534889260336,-429038.27428578224,-607092.0338635636,-4099.9318633053845,-4340.251560795568
2035-02-28,112,-2854.8183047221546,-3025.753982605558,-431893.0925905044,-610117.7878461691,-4103.333928908984,-4349.025980679785
2035-03-31,113,-2847.862069274924,-3021.96549751165,-434740.9546597793,-613139.7533436808,-4106.735994512584,-4357.800406382025
2035-04-30,114,-2840.920834216527,-3018.1695232934685,-437581.87549399585,-616157.9228669743,-4110.138060116182,-4366.574837342235
2035-05-31,115,-2833.994575719526,-3014.3661486763417,-440415.87006971537,-619172.2890156505,-4113.540125719782,-4375.349272869852
2035-06-30,116,-2827.083269952264,-3010.555461839543,-443242.95333966764,-622182.84447749,-4116.942191323381,-4384.123712201637
2035-07-31,117,-2820.1868930791484,-3006.7375504533593,-446063.1402327468,-625189.5820279433,-4120.344256926981,-4392.898154551315
2035-08-31,118,-2813.305421260931,-3002.912501709451,-448876.4456540077,-628192.4945296529,-4123.746322530579,-4401.672599150378
2035-09-30,119,-2806.438830654987,-2999.080402344566,-451682.88448466273,-631191.5749319975,-4127.148388134179,-4410.447045279941
2035-10-31,120,255261.47575332416,330326.6500298333,-196421.40873133857,-300864.92490216414,-4130.550453737778,-4419.221492293959
