Date,Month,Buying_Discounted_CF,Renting_Discounted_CF,Buying_Cumulative_NPV,Renting_Cumulative_NPV,Buying_Net_CF,Renting_Net_CF,City
2032-09-30,83,-1265.092962216239,-1285.375901258378,-166381.7837008152,-358365.64254077023,-1653.9292389994623,-1680.4462989599178,Buffalo
2032-10-31,84,-1262.0658373305564,-1284.6008720114694,-167643.84953814576,-359650.24341278174,-1655.373281465248,-1684.9310851901146,Buffalo
2032-11-30,85,-1259.0449976769655,-1283.8172145985811,-168902.89453582274,-360934.0606273803,-1656.8173239310338,-1689.4158714203113,Buffalo
2032-12-31,86,-1256.0304344687636,-1283.0249935802717,-170158.9249702915,-362217.08562096057,-1658.2613663968195,-1693.900657650508,Buffalo
2033-01-31,87,-1253.022138909669,-1282.2242731876397,-171411.94710920117,-363499.30989414826,-1659.7054088626053,-1698.3854438807048,Buffalo
2033-02-28,88,-1250.0201021939772,-1281.4151173237844,-172661.96721139515,-364780.725011472,-1661.149451328391,-1702.8702301109015,Buffalo
2033-03-31,89,-1247.024315506716,-1280.5975895652657,-173908.99152690187,-366061.3226010373,-1662.593493794177,-1707.3550163410982,Buffalo
2033-04-30,90,-1244.0347700237987,-1279.7717531635494,-175153.02629692567,-367341.0943542008,-1664.0375362599627,-1711.839802571295,Buffalo
2033-05-31,91,-1241.0514569121783,-1278.937671046458,-176394.07775383786,-368620.0320252473,-1665.4815787257485,-1716.3245888014917,Buffalo
2033-06-30,92,-1238.0743673300003,-1278.0954058196053,-177632.15212116786,-369898.1274310669,-1666.9256211915342,-1720.8093750316884,Buffalo
2033-07-31,93,-1235.103492426754,-1277.24501976783,-178867.2556135946,-371175.3724508347,-1668.3696636573202,-1725.2941612618852,Buffalo
2033-08-31,94,-1232.138823343421,-1276.3865748566232,-180099.39443693802,-372451.7590256913,-1669.813706123106,-1729.778947492082,Buffalo
2033-09-30,95,-1229.1803512126285,-1275.5201327335487,-181328.57478815064,-373727.2791584249,-1671.2577485888917,-1734.2637337222786,Buffalo
2033-10-31,96,-1226.2280671587964,-1274.645754729659,-182554.80285530945,-375001.92491315457,-1672.7017910546776,-1738.7485199524754,Buffalo
2033-11-30,97,-1223.2819622982845,-1273.7635018609028,-183778.0848176077,-376275.68841501547,-1674.1458335204634,-1743.233306182672,Buffalo
2033-12-31,98,-1220.3420277395408,-1272.8734348295295,-184998.42684534728,-377548.561849845,-1675.5898759862491,-1747.7180924128688,Buffalo
2034-01-31,99,-1217.4082545832478,-1271.975614025488,-186215.83509993053,-378820.5374638705,-1677.0339184520349,-1752.2028786430656,Buffalo
2034-02-28,100,-1214.4806339224667,-1271.0700995278146,-187430.315733853,-380091.6075633983,-1678.4779609178206,-1756.6876648732623,Buffalo
2034-03-31,101,-1211.559156842783,-1270.1569511060236,-188641.8748906958,-381361.7645145044,-1679.9220033836064,-1761.172451103459,Buffalo
2034-04-30,102,-1208.64381442245,-1269.236228221485,-189850.51870511824,-382631.0007427258,-1681.366045849392,-1765.6572373336558,Buffalo
2034-05-31,103,-1205.7345977325303,-1268.307990028799,-191056.2533028508,-383899.30873275455,-1682.8100883151778,-1770.1420235638525,Buffalo
2034-06-30,104,-1202.8314978370402,-1267.3722953771664,-192259.0848006878,-385166.6810281317,-1684.2541307809638,-1774.6268097940492,Buffalo
2034-07-31,105,-1199.934505793088,-1266.4292028117509,-193459.01930648088,-386433.11023094354,-1685.6981732467495,-1779.111596024246,Buffalo
2034-08-31,106,-1197.0436126510158,-1265.4787705750352,-194656.0629191319,-387698.58900151856,-1687.1422157125355,-1783.5963822544427,Buffalo
2034-09-30,107,-1194.1588094545386,-1264.5210566081762,-195850.2217285864,-388963.11005812674,-1688.5862581783213,-1788.0811684846394,Buffalo
2034-10-31,108,-1191.280087240884,-1263.5561185523495,-197041.5018158273,-390226.6661766791,-1690.030300644107,-1792.5659547148362,Buffalo
2034-11-30,109,-1188.4074370409264,-1262.5840137500895,-198229.90925286824,-391489.2501904292,-1691.4743431098927,-1797.0507409450329,Buffalo
2034-12-31,110,-1185.5408498793283,-1261.6047992466254,-199415.4501027476,-392750.8549896758,-1692.9183855756787,-1801.5355271752296,Buffalo
2035-01-31,111,-1182.680316774673,-1260.618531791212,-200598.13041952223,-394011.47352146695,-1694.3624280414642,-1806.0203134054264,Buffalo
2035-02-28,112,-1179.825828739602,-1259.6252678384517,-201777.95624826185,-395271.0987893054,-1695.8064705072502,-1810.505099635623,Buffalo
2035-03-31,113,-1176.9773767809477,-1258.625063549615,-202954.9336250428,-396529.72385285504,-1697.250512973036,-1814.98988586582,Buffalo
2035-04-30,114,-1174.134951899868,-1257.6179747939525,-204129.06857694263,-397787.341827649,-1698.6945554388217,-1819.4746720960163,Buffalo
2035-05-31,115,-1171.2985450919791,-1256.6040571500037,-205300.36712203463,-399043.945884799,-1700.1385979046074,-1823.9594583262133,Buffalo
2035-06-30,116,-1168.468147347488,-1255.5833659068985,-206468.8352693821,-400299.52925070585,-1701.5826403703932,-1828.44424455641,Buffalo
2035-07-31,117,-1165.6437496513208,-1254.5559560656538,-207634.47901903343,-401554.0852067715,-1703.026682836179,-1832.9290307866067,Buffalo
2035-08-31,118,-1162.8253429832575,-1253.5218823404678,-208797.3043620167,-402807.607089112,-1704.4707253019646,-1837.4138170168037,Buffalo
2035-09-30,119,-1160.0129183180586,-1252.4811991600018,-209957.3172803348,-404060.088288272,-1705.9147677677508,-1841.898603247,Buffalo
2035-10-31,120,121708.69607842572,332070.4574078226,-88248.62120190906,-71989.6308804494,-1707.3588102335366,-1846.383389477197,Buffalo
2025-11-30,1,-68969.63611664347,-3385.469047971271,-68969.63611664347,-253385.46904797127,-68969.63611664347,-3385.469047971271,NYC
2025-12-31,2,-3716.938423328633,-3386.108405102632,-72686.57453997209,-256771.5774530739,-3729.106712513068,-3397.1936428952545,NYC
2026-01-31,3,-3708.1897395267215,-3385.5120613102104,-76394.7642794988,-260157.0895143841,-3732.508778116667,-3407.7149161393795,NYC
2026-02-28,4,-3699.458574375872,-3383.849878863309,-80094.22285387467,-263540.9393932474,-3735.910843720266,-3417.192327420428,NYC
2026-03-31,5,-3690.7449066993454,-3381.30565455126,-83784.96776057401,-266922.2450477987,-3739.312909323866,-3425.8016210989485,NYC
2026-04-30,6,-3682.04871527208,-3378.0657174890307,-87467.01647584609,-270300.3107652877,-3742.714974927464,-3433.723485160635,NYC
2026-05-31,7,-3673.36997882122,-3374.309741769262,-91140.38645466731,-273674.620507057,-3746.117040531064,-3441.13424363754,NYC
2026-06-30,8,-3664.708676026665,-3370.203748635732,-94805.09513069398,-277044.8242556927,-3749.519106134663,-3448.1986057285158,NYC
2026-07-31,9,-3656.064785521595,-3365.8951760778123,-98461.15991621558,-280410.7194317705,-3752.921171738262,-3455.064395515618,NYC
2026-08-31,10,-3647.4382858930094,-3361.5098224552844,-102108.59820210858,-283772.2292542258,-3756.323237341861,-3461.859110126171,NYC
2026-09-30,11,-3638.829155682251,-3357.150423063482,-105747.42735779085,-287129.3796772893,-3759.725302945461,-3468.6881003126714,NYC
2026-10-31,12,-3630.237373385538,-3352.896591834852,-109377.66473117637,-290482.2762691241,-3763.12736854906,-3475.6341337761355,NYC
2026-11-30,13,-3621.66291745448,-3348.805851595071,-112999.32764863085,-293831.0821207192,-3766.5294341526583,-3482.7580856588743,NYC
2026-12-31,14,-3613.1057662966,-3344.91548218907,-116612.43341492744,-297175.9976029083,-3769.9314997562574,-3490.100499674054,NYC
2027-01-31,15,-3604.565898275856,-3341.2449330876434,-120216.99931320333,-300517.2425359959,-3773.3335653598574,-3497.6837743869974,NYC
2027-02-28,16,-3596.0432917131507,-3337.7985726414,-123813.04260491648,-303855.0411086373,-3776.735630963457,-3505.514749314452,NYC
2027-03-31,17,-3587.537924886844,-3334.568577085576,-127400.58052980332,-307189.6096857229,-3780.137696567056,-3513.5874920198203,NYC
